Column,Mean,Std Dev,Min,Q1 (25%),Median (50%),Q3 (75%),Max,IQR,Skewness,Kurtosis
20241,30.177621899059023,520.988556165964,-8.0,0.0,0.0,0.0,59400.0,0.0,73.47881361077992,7164.003762583301
20242,29.636304533789563,432.0072451132849,-30.0,0.0,0.0,0.0,38700.0,0.0,51.4754901056864,3576.795150698575
20243,30.20786997433704,498.4886921390464,-200.0,0.0,0.0,0.0,51800.0,0.0,66.96779723957,5900.369815021711
20244,31.262378100940975,406.8451278449176,-14.0,0.0,0.0,0.0,31200.0,0.0,42.876806913104076,2554.2628032246525
20245,32.18470487596236,461.87294701223766,-150.0,0.0,0.0,0.0,46200.0,0.0,58.92839517212381,4978.7143210367985
20246,30.851017964071858,439.64057476048976,-443.0,0.0,0.0,0.0,38300.0,0.0,51.26313917981093,3686.8519550745273
20247,34.33621899059025,520.6380659338583,-35.0,0.0,0.0,0.0,56400.0,0.0,62.615935856291465,5638.050230841275
20248,32.02426005132592,493.7032285714513,-30.0,0.0,0.0,0.0,53400.0,0.0,62.34455262693871,5580.25135137216
20249,34.70980325064157,503.31321286963265,-150.0,0.0,0.0,0.0,47800.0,0.0,56.710838983801715,4526.376051297498
202410,35.85495295124038,589.6993624578987,-7.0,0.0,0.0,0.0,70400.0,0.0,75.54231553429429,7858.303743272291
202411,32.010573139435415,469.6759426393729,-200.0,0.0,0.0,0.0,51400.0,0.0,63.40740195805017,5816.730744314462
202412,32.52540633019675,542.9925448443483,-5.0,0.0,0.0,0.0,62400.0,0.0,70.51938157566931,6899.277766871967
20251,38.11349871685201,591.428596753352,-20.0,0.0,0.0,0.0,72500.0,0.0,75.70314363789213,8233.737999409565
20252,33.569375534645,522.5757427512712,-8.0,0.0,0.0,0.0,62300.0,0.0,73.77700445246143,7671.78108731721
20253,35.273293413173654,553.7856789681634,-30.0,0.0,0.0,0.0,63400.0,0.0,70.8855021976433,6978.675560620018
20254,37.07120615911035,616.8840898012892,-10.0,0.0,0.0,0.0,78300.0,0.0,82.18742910756784,9381.706954494084
20255,38.133378956372965,577.4042144084069,-10.0,0.0,0.0,0.0,65600.0,0.0,68.63986093001053,6645.6324909388395
20256,35.5065868263473,535.6662339169626,-15.0,0.0,0.0,0.0,50700.0,0.0,54.56755529822634,4128.990540871022
20257,36.87582549187339,469.641177306584,-54.0,0.0,0.0,0.0,42700.0,0.0,44.900084218778886,3079.3584150014235
20258,35.219606501283145,468.60959580112717,-6.0,0.0,0.0,0.0,37300.0,0.0,45.30066397771846,2897.897917368799
